mim	is_phenotype	date_fetched	pmid_refs
102530	True	2025-03-20	9207595|17847006|6380341|6357995|15533374|4383|3338587|686404|1349598|596658|12149515
102540	True	2025-03-20	16267253|3789022|2570027|6641707|1246600|6272269|23178076|6894564|3023046|6584914|6310553|6273789|18506004|1639426|2563634|17947298|10528865|10330430|17611253|18403758|10966831|9563954|2948733|10494087|7780165|2916582
102545	True	2025-03-20	31769566|12567189|26647307|24777424|22960657|33294969|28422808|1710027|28383543|27481187|29781137|8530021|24337657|7759108|24676022
102560	True	2025-03-20	3351890|3472224|12519370|2837653|3737401|6865942|12388543|10524632|19477959|11474115|16773128|22366783|16950128|5654493|10903505|8941379|14684684|20847274|13680526
102573	False	2025-03-21	25224718|1339456|1505962|20022194|25173926|22253474|12140183|30701273|11440986|14567970|30900782|21536590|17097056
102574	False	2025-03-21	1339456|29706347|18178581|17828264|11440986|17033684|15886711|10192379|20089531|18043716|17627799|21536590|10797427|11845199|33600773|12879365
102575	False	2025-03-21	21107430|23434115|2349951
102576	False	2025-03-21	8242742|35511419|21567927|18830232|7068725|5033743|18203193|21044902|17272450|19085907|17077940|1646080|8389764|24259422|17351709|21377447|19330033|9501322|16642017|818090|22351757|8397373|10441661|19029982
102579	False	2025-03-21	32851396|35883251|15201901|8248204|32814904|30926972|27760120|32814343|7719032|8114700|35355059|7774928|11336696|33103729|32694621|8954124|10783165|36478048
102582	True	2025-03-20	7512451|34137790|18192275|12594516|24159173|29907691|12588893|17954917|10458605|8675499|20032975|15343391|19797626|8921406|9388184|23342295|4161105|18591412|22723956|25038750|11856732|29907690|15194489|19556508|14702106|17881745|14716305|14566054|27110918|16254185|22591296|25339666|12615922|8272872|28126831|18591410|22331430|15021879|15976028|25359994|17676033|11161808|10205054|31462771|16783372|24717441|9162009|10615050|26026268|23917203|17942886|17183270|15592573|12444102|15781265|22801499|22118528|11021801|26675719|35059947|8782827|14702634|19131594|12571365|18497825|11853668|15653507|27096320|33029007|15870198|12562765
102590	False	2025-03-21	
102630	False	2025-03-21	32170967|24458642|28347698|28487785|29220674|11311002|23756437|2837653|31970217|10928857|12325076|20167579|35313204|1415343|10327243|6865942|1505215|25255767|16306994|17502619|23649928|16794040|3842206|12388543|30315159|7199389|2994062|3837182|10411937|16685646|35971836|22366783|30733661|29788902|6202424|8941379|274701|25052316|35005077|20847274
102645	True	2025-03-20	2571406|3010709|1550126|3010710|7273954|2006156|2569728|2691504|2565880|8020952
102650	True	2025-03-20	3725479
102700	True	2025-03-19	3456164|7371221|19179314|12089448|3475710|11435465|1974554|9758612|8178821|11807006|9478961|7570001|8614422|7570000|18618|6260402|10021471|110506|372236|4811750|272665|5493847|518903|6603477|5501699|4117846|5366284|498598|9475605|7485150|1848369|4117384|3781559|6840756|3807953|715439|7749407|14499267|46025|3946419|6863546|6156414|479373|2783588|2166947|477037|8023852|8031011|8673127|5413970|6370091|5822324|7263861|475331|978319|4125820|974246|38963|6933468|597863|3260944|3116034|3571974|3366897|1089440|7670465|311004|3304460|9414266|9108404|3493485|1089883|980079|4014441|5144905|11445793|310515|8227344|6606796|24216|4815083|8099155|8051429|8900089|8120281|3007108|6198631|12163459|7731963|5003128|4634454|6977542|494270|4810724|7436484|7241535
102710	False	2025-03-21	
102720	False	2025-03-21	7927537|25589660|3259339|24554656|7903479|15310902|12748388|518903|7974009|1347043|1977364|12690074|29562231|6120891|8101391|279003|6933468|23831647|10823914|7959771|1352704|8096237|6974523|15353589|26124093|23486063|25752900|24599590
102750	True	2025-03-20	21963049|11997462|204068|185014|9070863|17120046|6146563|8577746
102777	True	2025-03-20	
102800	False	2025-03-21	
102900	True	2025-03-19	9090535|14300761|7426754|4160306
102910	True	2025-03-20	36239646|22219196|12511957|2687158|2900241
102920	True	2025-03-20	
102930	True	2025-03-20	
103020	True	2025-03-20	195572|6961883|561097|24548998|19043416|17952061|4539479|9434148|19043417
103071	False	2025-03-21	7766992|7959689|12503609|1427768|11055432
103072	False	2025-03-21	9662407|15583425|7766992|7959689|12897788|12503609|24482543|8314585|15133516|12441059|8596955
103100	False	2025-03-21	4177586|5838361|3340290|16775239
103190	False	2025-03-21	2474826|8661066|1744102
103195	False	2025-03-21	8325636|9799447|9003395|19952355|19169702|19054096
