mim	is_phenotype	date_fetched	umls_ids	orphanet_ids
123100	True	2025-03-19	C0010278|C4551902	35093|35099
123101	False	2025-03-24	C1417388|C1858160|C1868597|C1868599	
123150	True	2025-03-19	C0795998	1540
123155	False	2025-03-23	C1838347	1538
123260	False	2025-03-24	C1413716	
123270	False	2025-03-20	C3887923	
123280	False	2025-03-20	C1332763	
123290	False	2025-03-21	C1538468	
123295	False	2025-03-21	C1413437	
123310	False	2025-03-23	C1413435	
123320	True	2025-09-02	C0241005	206599
123400	True	2025-03-19	C0022336|C0376329|C0751254|C1852467	204|282166|454700
123450	False	2025-03-20	C0010314	281
123500	True	2025-03-23	C2931196	207
123540	False	2025-03-20	C1852457	
123550	False	2025-03-23	C1852456	91138
123555	False	2025-03-20		
123557	False	2025-03-20	C1852455	
123560	False	2025-03-21	C1852454	1547
123570	True	2025-04-22	C1852453	91396
123580	False	2025-03-24	C1439327|C1858679|C4015984|C4015985|C4015986|C4015987|C4015988|C4015989|C4015990	
123590	False	2025-05-11	C0302254|C1439328|C1837317|C3554649|C4015991|C4015992|C5190691	
123610	False	2025-03-21	C1413726|C1833229|C4015993	
123620	False	2025-03-24	C1413730|C1832175	
123630	False	2025-03-21	C1413732|C4015994|C4017722	
123631	False	2025-03-24	C1413728|C3808012|C4317309	
123660	False	2025-03-24	C1413733|C1413737	
123670	False	2025-03-23	C1413734|C3808800	
123680	False	2025-03-20	C1413735|C4015995|C4015996|C4015997|C4015998	
123690	False	2025-03-23	C1413736|C3540850|C4015999|C4016000|C4016001|C4016002|C4016003|C4016004	
123691	False	2025-03-24	C1413742	
123695	False	2025-03-24	C1418396|C1837073|C5882745	
123700	True	2025-03-23	C3276539	90348
123710	False	2025-03-25		
123720	False	2025-03-21		
123730	False	2025-03-21	C1413740|C3805410	
123740	False	2025-03-25	C1413741|C4084708	
123790	True	2025-03-19	C1852406	1555
123803	False	2025-03-23	C1412615	
123805	False	2025-03-21	C1418418|C1862170	
123810	False	2025-08-17	C1413702	
123811	False	2025-03-23	C1332119	
123812	False	2025-03-25	C1413706	
123825	False	2025-03-24	C1413543|C3151059	
123828	False	2025-03-21	C1332734	
123829	False	2025-03-20	C0694873|C1836892	
123830	False	2025-03-21	C1413553|C5436730	
123831	False	2025-03-25	C1332735|C4225359	
123832	False	2025-03-21	C1332739	
123833	False	2025-03-24	C1413173|C4014742	
123834	False	2025-03-24	C1413175	
123835	False	2025-03-24	C1332694	
123836	False	2025-03-24	C1332695	
123837	False	2025-03-20	C1332697	
123838	False	2025-03-20	C1413171	
123839	False	2025-03-21		
123840	False	2025-03-23	C1418793	
123841	False	2025-03-20	C1418795|C1850169	
123842	False	2025-03-23	C1418796	
123850	False	2025-03-24		
123853	False	2025-03-20	C1852396	2674
123855	False	2025-03-23	C1413770	
123856	False	2025-03-20	C1413771	
123857	False	2025-03-25	C1413773	
123858	False	2025-03-24	C1413774	
123859	False	2025-03-24	C1413126|C5394425	
123860	False	2025-03-24	C1413804|C4014617	
123864	False	2025-03-20	C1413634|C5436714	
123866	False	2025-03-20	C1413638	
123870	False	2025-03-24	C1413661|C5436712	
123875	False	2025-03-23	C1413712	
123876	False	2025-03-21	C1413766	
123880	False	2025-03-24	C0029438	73
123885	False	2025-03-24	C1366582	
123886	False	2025-03-24	C1335798	
123889	False	2025-03-23	C1334097|C1864880|C4016006	
123890	False	2025-03-25	C1332802|C1833450|C1852391|C1857845|C3862275|C4015214|C5436965	
123900	False	2025-03-21	C1421450	
123910	False	2025-03-23	C1415380	
123920	False	2025-03-25	C1413247	
123930	False	2025-03-24	C1382176|C3281153|C3281154	
123940	False	2025-03-24	C1416741|C4011926	
123950	False	2025-03-20		
123960	False	2025-03-23		
123970	False	2025-03-24	C1426584|C2677608	
123980	False	2025-03-25	C1413845|C3809553	
123995	False	2025-03-23	C1413655	
123996	False	2025-03-24	C1413656	
123997	False	2025-03-20	C4082982	
124000	True	2025-03-24	C3541471	1460|254902
124010	False	2025-03-21	C1176140|C4016007|C4017437|C5436733	
124015	False	2025-03-20	C1335232|C1860042|C3150099	
124020	False	2025-03-25	C1332828|C1836024|C1836026|C2674941	
