HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID|SYMBOL|STATUS)
HGNC:1	Entry Withdrawn	A12M1	
HGNC:2	Entry Withdrawn	A12M2	
HGNC:3	Entry Withdrawn	A12M3	
HGNC:4	Entry Withdrawn	A12M4	
HGNC:6	Merged/Split	A1S9T	HGNC:12469|UBA1|Approved
HGNC:9	Merged/Split	A2MR	HGNC:6692|LRP1|Approved
HGNC:10	Merged/Split	A2MRAP	HGNC:6701|LRPAP1|Approved
HGNC:11	Merged/Split	AA	HGNC:11714|TEAD1|Approved
HGNC:12	Entry Withdrawn	AABT	
HGNC:13	Merged/Split	AAC1	HGNC:7645|NAT1|Approved
HGNC:14	Merged/Split	AAC2	HGNC:7646|NAT2|Approved
HGNC:24	Merged/Split	ABC1	HGNC:29|ABCA1|Approved
HGNC:25	Merged/Split	ABC2	HGNC:32|ABCA2|Approved
HGNC:26	Merged/Split	ABC3	HGNC:33|ABCA3|Approved
HGNC:27	Merged/Split	ABC50	HGNC:70|ABCF1|Approved
HGNC:28	Merged/Split	ABC7	HGNC:48|ABCB7|Approved
HGNC:58	Merged/Split	ABCC7	HGNC:1884|CFTR|Approved
HGNC:75	Merged/Split	ABCR	HGNC:34|ABCA4|Approved
HGNC:86	Entry Withdrawn	ACAD	
HGNC:96	Merged/Split	ACBP	HGNC:2313|CPN2|Approved
HGNC:97	Merged/Split	ACC	HGNC:84|ACACA|Approved
HGNC:98	Merged/Split	ACCN	HGNC:99|ASIC2|Approved
HGNC:106	Merged/Split	ACH	HGNC:3690|FGFR3|Approved
HGNC:107	Merged/Split	ACHAP	HGNC:21101|CUTA|Approved
HGNC:109	Merged/Split	ACHM1	HGNC:2153|CNGB3|Approved
HGNC:110	Merged/Split	ACHM2	HGNC:2150|CNGA3|Approved
HGNC:111	Merged/Split	ACHM3	HGNC:2153|CNGB3|Approved
HGNC:112	Merged/Split	ACHRD	HGNC:1965|CHRND|Approved
HGNC:113	Merged/Split	ACHRG	HGNC:1967|CHRNG|Approved
HGNC:114	Entry Withdrawn	ACLS	
HGNC:116	Entry Withdrawn	ACMG	
HGNC:128	Merged/Split	ACS3	HGNC:12428|TWIST1|Approved
HGNC:131	Merged/Split	ACTA3	HGNC:145|ACTG2|Approved
HGNC:138	Entry Withdrawn	ACTBP5	
HGNC:156	Merged/Split	ACTL2	HGNC:147|ACTG1P2|Approved
HGNC:157	Merged/Split	ACTL3	HGNC:145|ACTG2|Approved
HGNC:158	Entry Withdrawn	ACTL4	
HGNC:159	Entry Withdrawn	ACTL5	
HGNC:176	Merged/Split	ACVRLK2	HGNC:171|ACVR1|Approved
HGNC:178	Merged/Split	ACY1L	HGNC:26295|CCDC102B|Approved
HGNC:181	Merged/Split	AD1	HGNC:620|APP|Approved
HGNC:182	Merged/Split	AD2	HGNC:613|APOE|Approved
HGNC:183	Merged/Split	AD3	HGNC:9508|PSEN1|Approved
HGNC:184	Merged/Split	AD4	HGNC:9509|PSEN2|Approved
HGNC:185	Entry Withdrawn	AD5	
HGNC:230	Merged/Split	ADCP2	HGNC:3009|DPP4|Approved
HGNC:231	Merged/Split	ADCR	HGNC:12797|WT2|Entry Withdrawn
HGNC:246	Merged/Split	ADDL	HGNC:245|ADD3|Approved
HGNC:247	Entry Withdrawn	ADFN	
HGNC:254	Entry Withdrawn	ADH5P1	
HGNC:258	Merged/Split	ADL	HGNC:10805|SGCA|Approved
HGNC:260	Merged/Split	ADMLX	HGNC:6211|ANOS1|Approved
HGNC:261	Merged/Split	ADMLY	HGNC:6214|ANOS2P|Approved
HGNC:266	Entry Withdrawn	ADORA2L1	
HGNC:267	Entry Withdrawn	ADORA2L2	
HGNC:279	Merged/Split	ADRA1C	HGNC:277|ADRA1A|Approved
HGNC:284	Merged/Split	ADRA2L1	HGNC:282|ADRA2B|Approved
HGNC:287	Merged/Split	ADRB2RL1	HGNC:5286|HTR1A|Approved
HGNC:293	Entry Withdrawn	ADT	
HGNC:294	Merged/Split	ADTAA	HGNC:561|AP2A1|Approved
HGNC:295	Merged/Split	ADTAB	HGNC:562|AP2A2|Approved
HGNC:296	Merged/Split	ADTB1	HGNC:554|AP1B1|Approved
