HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID|SYMBOL|STATUS)
HGNC:299	Merged/Split	ADTB2	HGNC:563|AP2B1|Approved
HGNC:300	Merged/Split	ADTG	HGNC:555|AP1G1|Approved
HGNC:301	Merged/Split	AE1	HGNC:11027|SLC4A1|Approved
HGNC:302	Merged/Split	AE2	HGNC:11028|SLC4A2|Approved
HGNC:305	Merged/Split	AEMK	HGNC:6218|KCNA1|Approved
HGNC:306	Merged/Split	AEPLC	HGNC:934|BACE2|Approved
HGNC:308	Merged/Split	AEZ	HGNC:17129|SLC39A4|Approved
HGNC:309	Entry Withdrawn	AF8T	
HGNC:310	Entry Withdrawn	AFA	
HGNC:311	Merged/Split	AFCP	HGNC:1474|CAPG|Approved
HGNC:312	Entry Withdrawn	AFD1	
HGNC:313	Merged/Split	AFG3	HGNC:314|AFG3L1P|Approved
HGNC:322	Merged/Split	AGMX1	HGNC:1133|BTK|Approved
HGNC:323	Entry Withdrawn	AGMX2	
HGNC:331	Merged/Split	AGS	HGNC:6188|JAG1|Approved
HGNC:332	Merged/Split	AGS1	HGNC:12269|TREX1|Approved
HGNC:334	Merged/Split	AGTBP	HGNC:16058|NLN|Approved
HGNC:335	Merged/Split	AGTIL	HGNC:745|ASIP|Approved
HGNC:337	Merged/Split	AGTR1B	HGNC:336|AGTR1|Approved
HGNC:340	Entry Withdrawn	AGTRL2	
HGNC:342	Merged/Split	AHC	HGNC:7960|NR0B1|Approved
HGNC:345	Merged/Split	AHDS	HGNC:10923|SLC16A2|Approved
HGNC:350	Entry Withdrawn	AIC	
HGNC:351	Merged/Split	AIED	HGNC:1393|CACNA1F|Approved
HGNC:353	Merged/Split	AIH1	HGNC:461|AMELX|Approved
HGNC:354	Merged/Split	AIH2	HGNC:3344|ENAM|Approved
HGNC:355	Entry Withdrawn	AIH3	
HGNC:366	Merged/Split	AK6	HGNC:17376|AK3|Approved
HGNC:383	Merged/Split	AKR1B11	HGNC:382|AKR1B10|Approved
HGNC:394	Merged/Split	AKU	HGNC:4892|HGD|Approved
HGNC:398	Merged/Split	ALAS3	HGNC:396|ALAS1|Approved
HGNC:401	Merged/Split	ALD	HGNC:61|ABCD1|Approved
HGNC:413	Merged/Split	ALDL1	HGNC:66|ABCD2|Approved
HGNC:419	Merged/Split	ALDR1	HGNC:381|AKR1B1|Approved
HGNC:421	Entry Withdrawn	ALDRL2	
HGNC:424	Entry Withdrawn	ALDRL5	
HGNC:426	Entry Withdrawn	ALFN1	
HGNC:440	Entry Withdrawn	ALPPL1	
HGNC:442	Merged/Split	ALS1	HGNC:11179|SOD1|Approved
HGNC:444	Entry Withdrawn	ALS3	
HGNC:446	Merged/Split	ALS5	HGNC:11226|SPG11|Approved
HGNC:448	Merged/Split	ALUNC	HGNC:5172|HR|Approved
HGNC:454	Merged/Split	AMCD1	HGNC:12011|TPM2|Approved
HGNC:455	Merged/Split	AMCD2B	HGNC:11946|TNNI2|Approved
HGNC:456	Entry Withdrawn	AMCN	
HGNC:458	Merged/Split	AMD2	HGNC:460|AMD1P2|Approved
HGNC:459	Merged/Split	AMDM	HGNC:7944|NPR2|Approved
HGNC:472	Merged/Split	AMPHL	HGNC:1052|BIN1|Approved
HGNC:480	Merged/Split	AN1	HGNC:8620|PAX6|Approved
HGNC:481	Merged/Split	AN2	HGNC:8620|PAX6|Approved
HGNC:486	Merged/Split	ANGPT3	HGNC:489|ANGPTL1|Approved
HGNC:488	Merged/Split	ANGPT5	HGNC:491|ANGPTL3|Approved
HGNC:498	Entry Withdrawn	ANOP1	
HGNC:499	Merged/Split	ANP	HGNC:7939|NPPA|Approved
HGNC:501	Merged/Split	ANPRA	HGNC:7943|NPR1|Approved
HGNC:502	Merged/Split	ANPRB	HGNC:7944|NPR2|Approved
HGNC:503	Merged/Split	ANPRC	HGNC:7945|NPR3|Approved
HGNC:504	Merged/Split	ANT1	HGNC:10990|SLC25A4|Approved
HGNC:505	Merged/Split	ANT2	HGNC:10991|SLC25A5|Approved
HGNC:506	Merged/Split	ANT3	HGNC:10992|SLC25A6|Approved
HGNC:508	Entry Withdrawn	ANTP2	
HGNC:509	Merged/Split	ANTP3	HGNC:19250|SLC25A5P1|Approved
HGNC:510	Entry Withdrawn	ANTP4	
HGNC:514	Merged/Split	ANX1	HGNC:533|ANXA1|Approved
HGNC:515	Merged/Split	ANX11	HGNC:535|ANXA11|Approved
HGNC:516	Merged/Split	ANX13	HGNC:536|ANXA13|Approved
HGNC:517	Merged/Split	ANX2	HGNC:537|ANXA2|Approved
HGNC:518	Merged/Split	ANX2L1	HGNC:538|ANXA2P1|Approved
HGNC:519	Merged/Split	ANX2L2	HGNC:539|ANXA2P2|Approved
HGNC:520	Merged/Split	ANX2L3	HGNC:540|ANXA2P3|Approved
HGNC:521	Merged/Split	ANX2L4	HGNC:537|ANXA2|Approved
HGNC:522	Merged/Split	ANX2LG	HGNC:10487|S100A10|Approved
HGNC:523	Merged/Split	ANX2P1	HGNC:538|ANXA2P1|Approved
HGNC:524	Merged/Split	ANX2P2	HGNC:539|ANXA2P2|Approved
HGNC:525	Merged/Split	ANX2P3	HGNC:540|ANXA2P3|Approved
HGNC:526	Merged/Split	ANX3	HGNC:541|ANXA3|Approved
HGNC:527	Merged/Split	ANX31	HGNC:547|ANXA9|Approved
HGNC:528	Merged/Split	ANX4	HGNC:542|ANXA4|Approved
HGNC:529	Merged/Split	ANX5	HGNC:543|ANXA5|Approved
HGNC:530	Merged/Split	ANX6	HGNC:544|ANXA6|Approved
HGNC:531	Merged/Split	ANX7	HGNC:545|ANXA7|Approved
HGNC:532	Merged/Split	ANX8	HGNC:546|ANXA8|Approved
HGNC:551	Merged/Split	AOM	HGNC:2200|COL2A1|Approved
HGNC:552	Merged/Split	AOP1	HGNC:9354|PRDX3|Approved
HGNC:577	Merged/Split	APAH1	HGNC:8049|NUDT2|Approved
HGNC:585	Merged/Split	APECED	HGNC:360|AIRE|Approved
HGNC:596	Merged/Split	API6	HGNC:1690|CD5L|Approved
HGNC:599	Merged/Split	APNH	HGNC:11071|SLC9A1|Approved
HGNC:606	Entry Withdrawn	APOBER1	
HGNC:614	Entry Withdrawn	APOEL1	
HGNC:617	Merged/Split	APOJ	HGNC:2095|CLU|Approved
HGNC:623	Entry Withdrawn	APPL	
HGNC:624	Merged/Split	APPL2	HGNC:598|APLP2|Approved
HGNC:625	Merged/Split	APR	HGNC:6692|LRP1|Approved
HGNC:627	Merged/Split	APS	HGNC:6364|KLK3|Approved
HGNC:628	Merged/Split	APT1	HGNC:11920|FAS|Approved
HGNC:629	Merged/Split	APT1LG1	HGNC:11936|FASLG|Approved
HGNC:632	Merged/Split	APY	HGNC:7316|MS4A2|Approved
HGNC:635	Merged/Split	AQP2L	HGNC:639|AQP6|Approved
HGNC:641	Merged/Split	AQP7L	HGNC:640|AQP7|Approved
HGNC:645	Merged/Split	ARA	HGNC:57|ABCC6|Approved
HGNC:650	Entry Withdrawn	ARCN2	
HGNC:653	Merged/Split	ARF2	HGNC:655|ARF4|Approved
HGNC:665	Merged/Split	ARH12	HGNC:667|RHOA|Approved
HGNC:666	Merged/Split	ARH6	HGNC:668|RHOB|Approved
HGNC:699	Merged/Split	ARMD1	HGNC:19194|HMCN1|Approved
HGNC:702	Merged/Split	ARP1	HGNC:7976|NR2F2|Approved
HGNC:709	Merged/Split	ARR1	HGNC:711|ARRB1|Approved
HGNC:715	Merged/Split	ARSC1	HGNC:11425|STS|Approved
HGNC:729	Merged/Split	ARVD1	HGNC:11769|TGFB3|Approved
HGNC:730	Merged/Split	ARVD2	HGNC:10484|RYR2|Approved
HGNC:731	Entry Withdrawn	ARVD3	
HGNC:732	Entry Withdrawn	ARVD4	
HGNC:733	Merged/Split	ARVD5	HGNC:28472|TMEM43|Approved
HGNC:734	Merged/Split	AS	HGNC:4932|HLA-B|Approved
HGNC:737	Merged/Split	ASB	HGNC:397|ALAS2|Approved
HGNC:741	Entry Withdrawn	ASD1	
HGNC:748	Merged/Split	ASLN	HGNC:2207|COL4A5|Approved
HGNC:749	Merged/Split	ASMD	HGNC:9006|PITX3|Approved
HGNC:774	Entry Withdrawn	ASVS1	
HGNC:776	Merged/Split	ATA	HGNC:795|ATM|Approved
HGNC:778	Merged/Split	ATC	HGNC:795|ATM|Approved
HGNC:780	Entry Withdrawn	ATD	
HGNC:781	Merged/Split	ATDC	HGNC:795|ATM|Approved
HGNC:793	Entry Withdrawn	ATHS	
HGNC:796	Merged/Split	ATN1L	HGNC:9965|RERE|Approved
HGNC:802	Merged/Split	ATP1AL1	HGNC:13816|ATP12A|Approved
HGNC:803	Merged/Split	ATP1AL2	HGNC:14073|ATP1A4|Approved
HGNC:810	Merged/Split	ATP1G1	HGNC:4026|FXYD2|Approved
HGNC:818	Entry Withdrawn	ATP3	
HGNC:821	Merged/Split	ATP5	HGNC:847|ATP5PF|Approved
HGNC:822	Merged/Split	ATP5A	HGNC:847|ATP5PF|Approved
HGNC:825	Merged/Split	ATP5A1P5	HGNC:827|ATP5F1AP1|Approved
HGNC:826	Merged/Split	ATP5AL2	HGNC:823|ATP5F1A|Approved
HGNC:832	Entry Withdrawn	ATP5BL2	
HGNC:835	Merged/Split	ATP5CL1	HGNC:833|ATP5F1C|Approved
HGNC:836	Merged/Split	ATP5CL2	HGNC:834|ATP5F1CP1|Approved
HGNC:852	Entry Withdrawn	ATP6V1A2	
HGNC:867	Merged/Split	ATP6N2	HGNC:866|ATP6V0A4|Approved
HGNC:872	Merged/Split	ATPL	HGNC:855|ATP6V0C|Approved
HGNC:873	Merged/Split	ATPM	HGNC:823|ATP5F1A|Approved
HGNC:874	Merged/Split	ATPSB	HGNC:830|ATP5F1B|Approved
HGNC:875	Merged/Split	ATPSBL1	HGNC:831|ATP5F1BP1|Approved
HGNC:876	Merged/Split	ATPSBL2	HGNC:832|ATP5BL2|Entry Withdrawn
HGNC:883	Merged/Split	ATRC1	HGNC:11057|SLC7A1|Approved
HGNC:884	Merged/Split	ATRC2	HGNC:11060|SLC7A2|Approved
HGNC:887	Merged/Split	ATS	HGNC:2207|COL4A5|Approved
HGNC:889	Merged/Split	AUF1	HGNC:5036|HNRNPD|Approved
HGNC:892	Entry Withdrawn	AUTS1	
HGNC:893	Merged/Split	AVED	HGNC:12404|TTPA|Approved
HGNC:898	Merged/Split	AVPR3	HGNC:896|AVPR1B|Approved
HGNC:899	Entry Withdrawn	AVR	
HGNC:900	Entry Withdrawn	AVRR	
HGNC:901	Merged/Split	AWAL	HGNC:2047|CLDN5|Approved
HGNC:902	Merged/Split	AXA1	HGNC:15984|APTX|Approved
HGNC:906	Merged/Split	AXPC1	HGNC:24682|FLVCR1|Approved
HGNC:907	Merged/Split	AXT	HGNC:2172|CNTN2|Approved
HGNC:908	Entry Withdrawn	AZF1	
HGNC:909	Entry Withdrawn	AZF2	
HGNC:931	Merged/Split	BA2R	HGNC:11535|TAF1|Approved
HGNC:965	Merged/Split	BBS	HGNC:967|BBS2|Approved
HGNC:968	Merged/Split	BBS3	HGNC:13210|ARL6|Approved
HGNC:972	Merged/Split	BCAR2	HGNC:18273|TRERF1|Approved
HGNC:979	Merged/Split	BCD1	HGNC:2235|KLF6|Approved
HGNC:980	Merged/Split	BCEI	HGNC:11755|TFF1|Approved
HGNC:981	Entry Withdrawn	BCGF1	
HGNC:982	Merged/Split	BCH	HGNC:11825|NKX2-1|Approved
HGNC:984	Entry Withdrawn	BCHEL1	
HGNC:985	Entry Withdrawn	BCHEL3	
HGNC:988	Merged/Split	BCL1	HGNC:1582|CCND1|Approved
HGNC:999	Merged/Split	BCL4	HGNC:998|BCL3|Approved
HGNC:1000	Entry Withdrawn	BCL5	
HGNC:1003	Merged/Split	BCL7	HGNC:1004|BCL7A|Approved
HGNC:1009	Merged/Split	BCMA	HGNC:11913|TNFRSF17|Approved
HGNC:1010	Merged/Split	BCNG1	HGNC:4845|HCN1|Approved
HGNC:1011	Merged/Split	BCNG2	HGNC:4846|HCN2|Approved
HGNC:1013	Merged/Split	BCPM	HGNC:13211|ATP2C1|Approved
HGNC:1019	Merged/Split	BCRL6	HGNC:1016|BCRP3|Approved
HGNC:1021	Merged/Split	BCUR1	HGNC:6548|LDOC1|Approved
HGNC:1025	Merged/Split	BDB	HGNC:10257|ROR2|Approved
HGNC:1026	Merged/Split	BDB1	HGNC:10257|ROR2|Approved
HGNC:1028	Merged/Split	BDK	HGNC:6383|KNG1|Approved
HGNC:1031	Entry Withdrawn	BDM	
HGNC:1032	Merged/Split	BDMR	HGNC:14063|HDAC4|Approved
HGNC:1035	Entry Withdrawn	BEVI	
HGNC:1038	Merged/Split	BFD	HGNC:1037|CFB|Approved
HGNC:1039	Merged/Split	BFLS	HGNC:18145|PHF6|Approved
HGNC:1042	Merged/Split	BFT	HGNC:9004|PITX1|Approved
HGNC:1045	Merged/Split	BGP	HGNC:1814|CEACAM1|Approved
HGNC:1056	Merged/Split	BLIMP1	HGNC:9346|PRDM1|Approved
HGNC:1061	Merged/Split	BLVR	HGNC:1062|BLVRA|Approved
HGNC:1064	Entry Withdrawn	BLYM	
HGNC:1086	Merged/Split	BNSP	HGNC:11255|SPP1|Approved
HGNC:1088	Merged/Split	BOR	HGNC:3519|EYA1|Approved
HGNC:1089	Merged/Split	BORJ	HGNC:18145|PHF6|Approved
HGNC:1091	Merged/Split	BPAG2	HGNC:2194|COL17A1|Approved
HGNC:1098	Entry Withdrawn	BRAFPS1	
HGNC:1110	Merged/Split	BRIC	HGNC:3706|ATP8B1|Approved
HGNC:1111	Merged/Split	BRN3B	HGNC:9219|POU4F2|Approved
HGNC:1114	Merged/Split	BSCL	HGNC:325|AGPAT2|Approved
HGNC:1115	Merged/Split	BSEP	HGNC:42|ABCB11|Approved
HGNC:1124	Merged/Split	BTEB2	HGNC:6349|KLF5|Approved
HGNC:1134	Merged/Split	BTN	HGNC:1135|BTN1A1|Approved
HGNC:1146	Merged/Split	BTS	HGNC:2074|CLN3|Approved
HGNC:1147	Entry Withdrawn	BTS1	
HGNC:1150	Merged/Split	BUB1L	HGNC:1148|BUB1|Approved
HGNC:1154	Merged/Split	BWS	HGNC:1786|CDKN1C|Approved
HGNC:1155	Merged/Split	BWSCR1A	HGNC:10964|SLC22A18|Approved
HGNC:1156	Merged/Split	BWSCR1B	HGNC:10965|SLC22A18AS|Approved
HGNC:1159	Merged/Split	BZS	HGNC:9588|PTEN|Approved
HGNC:1175	Merged/Split	C11orf3	HGNC:1172|VPS51|Approved
HGNC:1179	Merged/Split	C11orf7	HGNC:11405|BRSK2|Approved
HGNC:1182	Merged/Split	C12orf1	HGNC:7030|METTL1|Approved
HGNC:1194	Merged/Split	C15orf6	HGNC:18140|RHCG|Approved
HGNC:1195	Merged/Split	C16orf1	HGNC:17916|ZDHHC1|Approved
HGNC:1196	Merged/Split	C16orf2	HGNC:7864|EMC8|Approved
HGNC:1198	Merged/Split	C16orf4	HGNC:7864|EMC8|Approved
HGNC:1199	Merged/Split	C16orf6	HGNC:29564|PHAF1|Approved
HGNC:1200	Merged/Split	C17orf1	HGNC:1211|FBXW10|Approved
HGNC:1201	Entry Withdrawn	C17orf10	
HGNC:1202	Entry Withdrawn	C17orf11	
HGNC:1203	Entry Withdrawn	C17orf12	
HGNC:1204	Entry Withdrawn	C17orf13	
HGNC:1205	Entry Withdrawn	C17orf14	
HGNC:1206	Entry Withdrawn	C17orf15	
HGNC:1207	Entry Withdrawn	C17orf16	
HGNC:1208	Entry Withdrawn	C17orf17	
HGNC:1209	Entry Withdrawn	C17orf18	
HGNC:1210	Entry Withdrawn	C17orf19	
HGNC:1213	Entry Withdrawn	C17orf2	
HGNC:1214	Entry Withdrawn	C17orf20	
HGNC:1215	Entry Withdrawn	C17orf21	
HGNC:1216	Entry Withdrawn	C17orf22	
HGNC:1218	Entry Withdrawn	C17orf4	
HGNC:1219	Entry Withdrawn	C17orf5	
HGNC:1221	Entry Withdrawn	C17orf7	
HGNC:1222	Entry Withdrawn	C17orf8	
HGNC:1223	Entry Withdrawn	C17orf9	
HGNC:1227	Entry Withdrawn	C1HR	
HGNC:1231	Merged/Split	C1orf11	HGNC:15846|PALMD|Approved
HGNC:1234	Merged/Split	C1orf3	HGNC:10565|SCAMP3|Approved
HGNC:1235	Merged/Split	C1orf4	HGNC:11110|ARID1A|Approved
HGNC:1236	Entry Withdrawn	C1orf5	
HGNC:1238	Merged/Split	C1orf7	HGNC:16400|NLRP3|Approved
HGNC:1250	Merged/Split	C20orf2	HGNC:1249|TPX2|Approved
HGNC:1251	Merged/Split	C21orf1	HGNC:13524|PTTG1IP|Approved
HGNC:1252	Merged/Split	C21orf10	HGNC:13082|LTN1|Approved
HGNC:1254	Entry Withdrawn	C21orf12	
HGNC:1256	Merged/Split	C21orf14	HGNC:16459|C21orf91|Approved
HGNC:1257	Merged/Split	C21orf15	HGNC:2647|CYP4F29P|Approved
HGNC:1259	Merged/Split	C21orf19	HGNC:23274|MEMO1P1|Approved
HGNC:1261	Entry Withdrawn	NCRNA00098	
HGNC:1267	Merged/Split	C21orf27	HGNC:1258|SETD4|Approved
HGNC:1269	Merged/Split	C21orf3	HGNC:13524|PTTG1IP|Approved
HGNC:1270	Merged/Split	LRRC3DN	HGNC:14965|LRRC3|Approved
HGNC:1272	Entry Withdrawn	C21orf32	
HGNC:1275	Merged/Split	C21orf35	HGNC:1274|MIR99AHG|Approved
HGNC:1278	Merged/Split	C21orf38	HGNC:16459|C21orf91|Approved
HGNC:1281	Entry Withdrawn	C21orf40	
HGNC:1284	Merged/Split	C21orf43	HGNC:14686|JAM2|Approved
HGNC:1287	Merged/Split	C21orf46	HGNC:1286|MIS18A|Approved
HGNC:1289	Merged/Split	C21orf48	HGNC:1301|CFAP298|Approved
HGNC:1292	Merged/Split	C21orf50	HGNC:11183|SON|Approved
HGNC:1295	Entry Withdrawn	C21orf53	
HGNC:1303	Merged/Split	C21orf60	HGNC:2993|DONSON|Approved
HGNC:1311	Merged/Split	C22orf6	HGNC:10699|SEC14L2|Approved
HGNC:1315	Merged/Split	C2orf1	HGNC:14487|MRPL33|Approved
HGNC:1341	Merged/Split	C6orf2	HGNC:1343|TRAF3IP2|Approved
HGNC:1342	Merged/Split	TRAF3IP2-AS2	HGNC:40005|TRAF3IP2-AS1|Approved
HGNC:1344	Merged/Split	C6orf5	HGNC:1343|TRAF3IP2|Approved
HGNC:1345	Merged/Split	C6orf6	HGNC:1343|TRAF3IP2|Approved
HGNC:1347	Merged/Split	C7orf1	HGNC:2045|CLDN3|Approved
HGNC:1351	Merged/Split	C7orf8	HGNC:15679|CTTNBP2|Approved
HGNC:1360	Merged/Split	C9orf2	HGNC:11866|TMEFF1|Approved
HGNC:1376	Merged/Split	CA5	HGNC:1377|CA5A|Approved
HGNC:1387	Entry Withdrawn	CACD	
HGNC:1398	Merged/Split	CACNA2	HGNC:1399|CACNA2D1|Approved
HGNC:1410	Merged/Split	CACNL1A1	HGNC:1390|CACNA1C|Approved
HGNC:1411	Merged/Split	CACNL1A2	HGNC:1391|CACNA1D|Approved
HGNC:1412	Merged/Split	CACNL1A3	HGNC:1397|CACNA1S|Approved
HGNC:1413	Merged/Split	CACNL1A4	HGNC:1388|CACNA1A|Approved
HGNC:1414	Merged/Split	CACNL1A5	HGNC:1389|CACNA1B|Approved
HGNC:1415	Merged/Split	CACNL1A6	HGNC:1392|CACNA1E|Approved
HGNC:1416	Merged/Split	CACNL2A	HGNC:1399|CACNA2D1|Approved
HGNC:1417	Merged/Split	CACNLB1	HGNC:1401|CACNB1|Approved
HGNC:1418	Merged/Split	CACNLB2	HGNC:1402|CACNB2|Approved
HGNC:1419	Merged/Split	CACNLB3	HGNC:1403|CACNB3|Approved
HGNC:1420	Merged/Split	CACP	HGNC:9364|PRG4|Approved
HGNC:1423	Merged/Split	CACY	HGNC:10496|S100A6|Approved
HGNC:1425	Merged/Split	CADASIL	HGNC:7883|NOTCH3|Approved
HGNC:1427	Merged/Split	CAE1	HGNC:4281|GJA8|Approved
HGNC:1428	Merged/Split	CAE2	HGNC:2659|CZP2|Entry Withdrawn
HGNC:1429	Merged/Split	CAGA	HGNC:10498|S100A8|Approved
HGNC:1430	Merged/Split	CAGB	HGNC:10499|S100A9|Approved
HGNC:1431	Merged/Split	CAK	HGNC:2730|DDR1|Approved
HGNC:1432	Merged/Split	CAL1H	HGNC:537|ANXA2|Approved
HGNC:1433	Merged/Split	CAL1L	HGNC:10487|S100A10|Approved
HGNC:1450	Merged/Split	CALML1	HGNC:1443|CALM1P1|Approved
HGNC:1451	Merged/Split	CALML2	HGNC:1442|CALM1|Approved
HGNC:1453	Merged/Split	CALNA	HGNC:9314|PPP3CA|Approved
HGNC:1454	Merged/Split	CALNB	HGNC:9315|PPP3CB|Approved
HGNC:1456	Merged/Split	CALS	HGNC:1382|CA8|Approved
HGNC:1457	Merged/Split	CALT	HGNC:1867|CETN2|Approved
HGNC:1465	Merged/Split	CAMKA	HGNC:1460|CAMK2A|Approved
HGNC:1466	Merged/Split	CAMKB	HGNC:1461|CAMK2B|Approved
HGNC:1467	Merged/Split	CAMKD	HGNC:1462|CAMK2D|Approved
HGNC:1468	Merged/Split	CAMKG	HGNC:1463|CAMK2G|Approved
HGNC:1475	Merged/Split	CAPL	HGNC:10494|S100A4|Approved
HGNC:1495	Merged/Split	CASA	HGNC:2445|CSN1S1|Approved
HGNC:1496	Merged/Split	CASB	HGNC:2447|CSN2|Approved
HGNC:1518	Entry Withdrawn	CATHL1L	
HGNC:1524	Entry Withdrawn	CATHLP	
HGNC:1526	Merged/Split	CAV	HGNC:1527|CAV1|Approved
HGNC:1531	Merged/Split	CBBM	HGNC:4206|OPN1MW|Approved, HGNC:9936|OPN1LW|Approved
HGNC:1532	Merged/Split	CBD	HGNC:4206|OPN1MW|Approved
HGNC:1533	Merged/Split	CBFA1	HGNC:10472|RUNX2|Approved
HGNC:1534	Merged/Split	CBFA2	HGNC:10471|RUNX1|Approved
HGNC:1538	Merged/Split	CBFA3	HGNC:10473|RUNX3|Approved
HGNC:1545	Merged/Split	CBP	HGNC:9936|OPN1LW|Approved
HGNC:1547	Merged/Split	SERPINH2	HGNC:1546|SERPINH1|Approved
HGNC:1558	Merged/Split	CCA	HGNC:3604|FBN2|Approved
HGNC:1559	Entry Withdrawn	CCA1	
HGNC:1560	Merged/Split	CCA2	HGNC:2398|CRYBB2|Approved
HGNC:1561	Entry Withdrawn	CCAL1	
HGNC:1562	Merged/Split	CCAL2	HGNC:15492|ANKH|Approved
HGNC:1563	Merged/Split	CCAT	HGNC:4204|GCNT2|Approved
HGNC:1566	Entry Withdrawn	CCD#	
HGNC:1567	Merged/Split	CCD1	HGNC:10472|RUNX2|Approved
HGNC:1572	Merged/Split	CCL	HGNC:2412|CRYGEP|Approved
HGNC:1574	Merged/Split	C7orf22	HGNC:21708|CCM2|Approved
HGNC:1575	Merged/Split	CCM3	HGNC:8761|PDCD10|Approved
HGNC:1576	Merged/Split	CCNA	HGNC:1578|CCNA2|Approved
HGNC:1588	Merged/Split	CCNE	HGNC:1589|CCNE1|Approved
HGNC:1597	Merged/Split	CCNL1	HGNC:6944|MCM2|Approved
HGNC:1598	Merged/Split	CCNM	HGNC:20570|CCNL2|Approved
HGNC:1601	Merged/Split	CCO	HGNC:10483|RYR1|Approved
HGNC:1614	Entry Withdrawn	CCT	
HGNC:1619	Merged/Split	CCT6	HGNC:1620|CCT6A|Approved
